entity,entity_name,level,period,indicator,value,unit,source_id,series_id,quality,footnotes
AFR,Afrika,region,2013-W47,burned_area_km2,36344.31,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W48,burned_area_km2,45242.62,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W49,burned_area_km2,55815.39,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W50,burned_area_km2,84633.36,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W51,burned_area_km2,78281.16,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W52,burned_area_km2,69777.33,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W01,burned_area_km2,86820.71,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W02,burned_area_km2,71378.39,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W03,burned_area_km2,60219.63,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W04,burned_area_km2,38382.32,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W05,burned_area_km2,47514.87,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W06,burned_area_km2,47194.67,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W07,burned_area_km2,48709.47,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W08,burned_area_km2,32622.9,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W09,burned_area_km2,21086.02,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W10,burned_area_km2,15992.89,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
