entity,entity_name,level,period,indicator,value,unit,source_id,series_id,quality,footnotes
WLD,Verden,world,-3430,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3410,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3390,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3370,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3350,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3330,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3310,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3290,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3270,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3250,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3230,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3210,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3190,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3170,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3150,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3130,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3110,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3090,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3070,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3050,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3030,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3010,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2990,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2970,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2950,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2930,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2910,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2890,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2870,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2850,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2830,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2810,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2790,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2770,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2750,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2730,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2710,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2690,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
